playerID,name,rating,gamesWon,gamesPlayed,winPercentage
1970,"Latedge",1194,31,60,51
40,"Xenix",1193,5,7,63
1279,"6A",1193,11,21,50
1355,"Nwc.leear",1192,7,11,58
823,"regi",1191,4,6,57
1428,"Sould",1188,11,17,61
791,"Fromundaman",1185,18,30,58
1084,"Transgender Cowboy",1185,58,104,55
528,"Knight who says Ni",1182,5,9,50
1947,"ILOVENINJA!!!",1182,4,6,57
2289,"Doorway",1181,5,14,33
1998,"Blue_Fox",1181,6,10,55
310,"ShadinqTR",1180,95,167,57
428,"VileRailer",1180,94,196,48
1181,"BugManiac",1180,6,9,60
2219,"Craftingchicken07",1179,3,5,50
1885,"Stress",1177,7,12,54
104,"casual joe",1176,10,16,59
538,"Artivulet",1174,6,12,46
228,"Alwodan",1173,4,6,57
2418,"Galaxy",1169,11,24,44
1473,"LabNotes",1168,3,4,80
173,"lemon",1167,8,13,57
593,"Sable",1166,29,49,58
1336,"luker339",1165,5,8,56
2117,"kokoHAAA",1165,24,45,52
1419,"Anub646",1160,6,10,55
1285,"Pine",1160,8,13,57
929,"ZXavier",1160,4,7,50
1137,"JacqueDeLaOrsh",1158,4,7,50
1406,"Foors",1157,10,17,56
238,"Pudgypoultry",1156,4,6,57
831,"Luco",1154,6,12,46
957,"Bogus",1154,12,26,44
2267,"marcechow",1153,3,5,50
1346,"Riosthename",1153,10,17,56
1389,"sd_origin",1153,3,5,50
1865,"Glue Snorter",1153,8,14,53
489,"Suck My Kiss",1152,7,12,54
2195,"MaybeZach",1151,8,16,47
1330,"Sparea",1151,5,8,56
873,"gaster",1150,2,2,100
876,"TyrantDJMento",1150,2,2,100
1434,"King",1150,3,4,60
1451,"Sol Invictus",1150,2,2,100
2192,"stellarsaid",1150,2,2,100
2240,"Jello",1150,2,2,100
1950,"HajSoup",1149,6,10,55
1106,"AigisBuster",1148,4,7,50
2222,"0013",1147,16,32,48
355,"SoZaltY526",1147,2,2,100
325,"lofikay",1146,11,20,52
308,"Tipu",1145,39,69,56
1861,"Konny",1145,4,6,71
2061,"Avalon",1144,11,23,46
1177,"Coherek",1140,9,14,60
239,"AgguBaggu",1139,6,10,64
2168,"Jank City",1139,7,17,39
2254,"bachelor",1137,6,12,46
942,"Rudi",1137,6,11,50
1167,"The miner",1136,4,6,57
314,"Meathir",1136,7,13,50
31,"Falconer",1136,4,6,57
1938,"AZATHOTHcupcakes",1136,12,20,57
1021,"Bosko",1136,18,38,46
1331,"Blwaxen",1132,2,3,50
638,"kivi",1131,13,34,37
1444,"HelterSeltzer",1130,6,11,50
2218,"Magneter",1130,27,67,40
956,"Paranomaly",1128,14,26,52
1180,"Flipkick",1128,9,17,50
1179,"Pockles",1128,3,4,80
122,"Para",1128,7,13,50
2010,"lkg",1127,17,37,45
594,"Ben_AVV",1127,83,148,56
119,"Belter",1126,4,6,57
1144,"RecentlyanimatedSkelet0n",1125,3,5,50
2385,"Okuu 2hu",1124,5,12,38
2446,"Daverino",1124,2,3,75
568,"AGgenri",1124,17,31,53
554,"Gubknak",1123,80,143,56
1273,"Inabathtub",1122,3,5,50
1284,"ItsToday",1122,2,3,75
2422,"SKULLY",1122,3,5,50
96,"brubsby",1121,6,11,50
941,"Gameslayer989",1120,28,55,50
2006,"Wheeki",1120,4,6,57
2350,"SuperKiller5002",1120,19,41,45
182,"ADeatonic",1118,4,6,71
2060,"witchhhunt",1118,7,13,50
445,"WillyQuanta",1114,7,13,50
1465,"msssiah",1114,2,3,50
1354,"Zaddis",1114,3,5,50
1339,"Gamer01",1113,3,5,50
387,"tskjo",1113,13,26,48
2420,"Hustler One",1110,6,14,40
37,"Joel Happyhil",1108,5,10,45
663,"GntBoa",1107,2,3,75
1372,"Pigeon",1106,2,3,50
1365,"Flamy",1104,4,7,50
2085,"angelshyacinth",1104,22,42,53
2216,"kotamine",1104,17,41,40
495,"aggronomics",1104,3,5,50
1386,"Flan",1104,3,5,50
2447,"Cai0",1103,3,5,50
1156,"Drakohyena",1102,3,5,50
313,"Zato-VaN",1102,11,20,52
34,"p4nd0ran",1101,11,19,55
624,"Toriathan",1100,3,5,50
684,"Sads",1099,3,5,67
258,"Cheese",1098,4,7,50
808,"Sansein",1098,5,15,31
1462,"sherlockhomo",1098,3,5,50
29,"Nevan Nedall",1097,5,9,50
1962,"Xx_Vando_Pam_xX",1097,5,9,50
1469,"Lagandra",1096,6,11,50
1042,"Nomad",1096,3,5,50
2539,"politecat",1095,4,8,44
1412,"BolaSquirrel",1095,2,3,50
1453,"SlabOfLime",1095,3,5,67
2424,"BeastBuy",1095,11,23,46
1142,"blcktwo",1094,8,15,50
2323,"Lorper",1093,3,6,43
834,"Junko",1093,3,5,50
2214,"OdIn",1093,2,4,40
529,"Glimpsed",1091,25,42,58
309,"BreadyCore",1091,19,48,39
955,"osuepo",1091,12,24,48
811,"Bello",1090,3,5,50
543,"clown",1090,26,48,53
12,"Fallzei",1088,3,5,50
974,"Xtremer$adiq",1087,3,5,50
926,"drahyrt",1087,4,8,44
1939,"SuzumeTaka",1086,3,5,50
744,"Nerd",1086,8,16,47
824,"Musiq",1085,3,5,50
1143,"StratOFerus",1085,7,14,47
1019,"gaming",1083,5,9,50
127,"ReclusiveRobot",1082,68,160,42
38,"Wiley",1080,4,7,50
1187,"BK-Vatras",1080,5,11,42
2441,"Notkirb",1079,2,4,40
2325,"_xVx_$!*Nabi!*$_xVx_ツ",1078,3,5,50
1344,"Nines",1078,16,29,53
1384,"canned_m1lk",1077,4,7,50
809,"Def Magica",1077,3,5,50
1054,"nephillen",1076,10,23,42
1348,"Girlmoss",1076,2,3,50
1191,"PolarsXI",1076,2,4,40
39,"Greeetaku",1075,3,5,50
95,"San Sundertail",1075,1,1,100
112,"The Fix",1075,2,3,50
213,"miguell",1075,1,1,100
214,"Nobu ///",1075,2,3,50
222,"AdiHi",1075,1,1,100
226,"navysama",1075,1,1,100
232,"CB",1075,3,5,50
233,"JustPhilski",1075,1,1,100
234,"LERPish",1075,1,1,100
446,"Groovy",1075,1,1,100
447,"KapL?!",1075,1,1,100
491,"lost",1075,1,1,100
742,"jame",1075,1,1,100
812,"N1n3",1075,3,5,50
832,"Níquel",1075,2,3,50
939,"Ani",1075,2,3,75
1268,"the Dawktur",1075,1,1,100
1351,"YoungBones",1075,2,3,50
1359,"Dustyx_x",1075,2,3,50
1362,"Dare",1075,2,3,50
1363,"NotRealRaiju",1075,1,1,100
1368,"DeeVeeTree",1075,2,3,50
1394,"Papitas",1075,2,3,50
1400,"Pannbiffsmannen",1075,2,3,50
1438,"Malson",1075,3,5,50
1442,"HeyItsZer0",1075,2,3,50
1450,"J-Kreed",1075,2,3,50
1461,"Ulken",1075,2,3,50
1472,"God_emoji",1075,1,1,100
1961,"JOECHILL",1075,2,3,75
2407,"D'TG",1075,1,1,100
2413,"TheMightyStone",1075,3,5,50
1168,"Bleu",1074,8,17,50
11,"syn",1074,4,7,50
1347,"DoomSlime",1074,2,3,50
148,"Arson!st",1074,16,35,44
33,"Umbrella",1073,3,5,50
829,"ScaryJade",1073,7,15,44
1062,"Goldie",1073,9,21,41
157,"Miriyo",1072,8,14,53
1158,"Webb8",1071,14,32,42
1996,"gravity",1071,3,5,50
1426,"Polzar",1070,5,10,45
1610,"TexasKaiju247",1069,6,12,46
35,"ITWCB",1069,20,40,49
912,"gasoline",1067,2,4,40
1041,"Blons",1065,6,12,46
1458,"Eusifiri",1064,4,8,44
930,"Gyr0mat!c",1062,2,4,40
2387,"kali235",1062,3,5,50
272,"Zairei",1061,4,9,40
940,"blagomey",1059,2,4,40
1440,"Para",1059,4,8,44
2131,"Chiloe-Chan",1059,4,9,40
1169,"ModerXD",1058,3,5,50
2144,"bringanotebook",1058,3,7,38
161,"Rainbow",1058,3,5,50
2332,"chui",1058,6,18,32
1411,"Uplift40",1057,4,8,44
501,"Penguin IronMan",1057,33,78,42
2290,"lain",1057,2,4,40
1161,"Twig",1056,3,6,43
488,"sandos prime",1055,1,2,33
1896,"Arbbe",1055,6,11,50
880,"Tree",1055,2,4,40
2084,"BlackPirate",1054,2,4,40
469,"Im2Xtreme",1054,5,9,50
356,"Buttz",1052,4,7,50
1402,"izzyOS",1052,5,10,45
